City Name,City Temperature,Humidity,Cloudines,Wind Speed,Latitude
novyy urengoy,-6.17,84,48,6.36,66.08
upernavik,-18.12,100,0,12.01,72.79
fairbanks,11.67,47,88,1.21,64.84
chokurdakh,-20.62,82,20,2.16,70.62
victoria,27.0,88,90,1.0,5.28
sivagiri,19.04,81,0,0.76,9.36
sukumo,10.39,75,44,2.41,32.94
talnakh,-7.47,91,92,5.21,69.49
hobart,15.0,38,20,11.3,-42.88
port hawkesbury,4.44,44,1,2.6,45.62
quincy,26.0,44,40,4.6,30.59
saldanha,7.99,59,0,3.51,41.42
saint-philippe,2.22,74,90,3.1,45.36
tulum,29.0,58,75,2.1,20.21
rikitea,26.54,97,20,6.11,-23.12
jamestown,14.84,72,76,7.31,-33.21
bredasdorp,17.0,93,80,2.6,-34.53
deputatskiy,-23.12,64,12,2.66,69.3
roma,12.78,66,0,2.1,41.89
kitoy,-3.0,100,32,1.0,52.6
paamiut,2.34,82,76,18.26,61.99
arraial do cabo,26.14,90,24,4.46,-22.97
mataura,19.44,85,80,0.89,-46.19
gizo,11.67,87,75,11.8,31.8
yellowknife,-2.22,53,75,9.3,62.45
lompoc,20.0,52,1,2.1,34.64
provideniya,0.0,97,90,7.0,64.42
busselton,9.44,48,0,8.16,-33.64
seymchan,-12.72,73,0,3.86,62.93
fortuna,12.78,58,0,1.0,38.18
hasaki,7.22,70,75,4.1,35.73
punta arenas,12.0,54,75,12.9,-53.16
wajir,26.49,50,8,4.66,1.75
kainantu,20.24,90,68,0.76,-6.29
atuona,27.99,100,44,7.36,-9.8
alice springs,25.0,78,90,5.7,-23.7
kyzyl-suu,0.64,100,44,1.41,42.34
flinders,25.56,53,0,7.7,-34.58
bambous virieux,28.0,74,75,4.6,-20.34
leningradskiy,-15.52,100,76,4.31,69.38
avarua,28.0,78,88,2.1,-21.21
luau,17.74,97,64,1.01,-10.7
vaini,19.49,88,0,0.76,15.34
qaanaaq,-31.87,74,0,3.11,77.48
gresham,17.22,38,1,2.6,45.51
kotka,-1.0,68,0,2.6,60.47
tasiilaq,-5.0,73,92,18.0,65.61
richards bay,22.84,85,36,4.36,-28.77
east london,22.59,100,44,7.96,-33.02
nikolskoye,1.11,69,0,3.0,59.7
lagoa,16.11,77,0,4.1,37.14
togur,-4.87,91,36,2.61,58.36
hithadhoo,28.49,100,88,3.66,-0.6
bathsheba,26.0,74,75,6.7,13.22
hermanus,18.89,95,64,1.06,-34.42
grindavik,0.56,100,0,5.1,63.84
norman wells,0.0,99,90,2.6,65.28
vila,15.0,72,0,1.5,45.18
kloulklubed,24.0,88,40,2.1,7.04
carnarvon,16.19,51,0,4.46,-30.97
klaksvik,4.0,80,0,6.2,62.23
at-bashi,-15.47,66,0,0.61,41.17
puerto ayora,29.0,74,0,4.1,-0.74
nizhniy odes,0.64,84,88,3.31,63.64
lebu,19.0,34,20,3.1,8.96
bonfim,32.49,39,0,6.01,3.36
kavaratti,28.39,100,0,1.31,10.57
ahipara,22.99,73,76,4.91,-35.17
matamoros,27.0,57,75,7.2,25.87
esperance,28.0,65,20,6.2,10.24
hami,0.04,49,0,2.36,42.84
zhezkazgan,-4.67,83,44,1.41,47.8
verkhnevilyuysk,-16.02,64,0,1.86,63.45
torbay,1.11,86,75,11.8,47.66
hobyo,25.69,89,68,3.51,5.35
mnogovershinnyy,-7.17,70,44,1.31,53.94
castro,14.0,67,0,4.1,-42.48
hamilton,10.0,74,90,5.1,43.26
khatanga,-14.32,80,68,4.86,71.98
lubango,16.59,87,12,0.56,-14.92
ossora,-10.72,93,76,7.41,59.24
tuktoyaktuk,-6.0,79,75,3.6,69.44
geraldton,-4.0,21,5,5.1,49.72
bogande,23.49,52,20,1.26,12.97
bluff,28.39,62,12,2.56,-23.58
san andres,24.99,100,80,2.86,13.32
inhambane,22.49,100,20,2.66,-23.87
thompson,-5.0,29,20,4.1,55.74
gilgit,-5.97,91,80,0.16,35.92
ribeira grande,14.89,100,44,0.96,38.52
dwarka,17.0,88,40,3.6,28.58
port-cartier,-8.89,28,20,6.2,50.03
batemans bay,23.89,68,68,3.13,-35.71
college,11.67,45,1,5.7,64.86
svetlogorsk,-5.0,92,20,2.0,53.14
shenzhen,18.89,93,40,7.7,22.54
prince rupert,12.0,68,1,2.6,54.32
nouakchott,18.0,82,0,5.1,18.08
port alfred,21.67,94,24,2.68,-33.59
rio cuarto,21.0,46,0,5.1,-33.13
ushuaia,12.0,40,75,5.1,-54.81
pudozh,-3.77,92,12,4.21,61.81
vardo,18.0,16,1,2.6,39.62
bethel,4.0,86,90,8.7,60.79
adre,24.74,20,0,5.11,13.47
lampazos de naranjo,30.14,36,0,3.21,27.02
butaritari,28.39,100,76,3.91,3.07
kodiak,13.89,93,90,5.7,39.95
kysyl-syr,-15.92,63,20,2.31,63.9
clyde river,-25.0,75,75,14.4,70.47
carayao,22.49,79,12,1.41,-25.18
abalak,24.64,29,68,4.66,15.46
severo-kurilsk,-2.52,100,48,6.96,50.68
netivot,11.67,89,48,1.34,31.42
kaitangata,21.99,79,68,1.71,-46.28
puerto montt,14.0,62,0,7.2,-41.47
georgetown,29.0,70,40,5.1,6.8
airai,25.14,77,8,0.96,-8.93
vila velha,28.0,78,40,2.1,-3.71
san rafael del sur,34.0,36,20,5.1,11.85
buchanan,26.0,94,20,2.96,5.88
chuy,17.54,77,0,7.46,-33.69
ust-maya,-14.67,72,8,2.81,60.42
mar del plata,12.24,90,0,2.56,-46.43
palmer,18.33,76,75,11.3,-34.85
kapaa,24.0,83,90,6.7,22.08
vestmanna,4.0,80,0,6.2,62.16
buala,29.89,81,92,2.31,-8.15
dikson,-4.32,93,88,15.71,73.51
conakry,26.0,88,40,4.36,9.52
los llanos de aridane,16.0,63,0,2.6,28.66
broome,9.0,75,8,5.1,52.47
albany,13.33,20,75,6.7,42.65
praia da vitoria,15.0,87,20,4.21,38.73
henties bay,16.67,87,44,0.45,-22.12
susuman,-14.67,80,36,1.66,62.78
fukue,12.22,65,40,2.6,35.03
uvinza,16.74,94,24,0.96,-5.1
honolulu,28.0,48,75,7.2,21.3
guerrero negro,20.64,50,12,5.86,27.97
shingu,12.99,100,20,2.41,33.72
ilulissat,-1.0,54,80,10.3,69.22
balti,7.22,77,0,1.5,47.76
new norfolk,15.0,38,20,11.3,-42.78
kununurra,26.0,83,0,2.1,-15.77
morondava,25.64,98,0,2.06,-20.3
huanren,4.29,57,0,1.56,41.26
yulara,25.0,47,64,6.2,-25.24
alyangula,29.0,83,40,2.6,-13.85
assiniboia,-0.47,99,92,4.46,49.63
chapais,-12.0,32,1,5.7,49.78
faanui,29.89,97,12,6.01,-16.48
dingle,26.54,63,0,5.36,11.0
cape town,19.44,82,0,6.2,-33.93
cap malheureux,28.0,74,75,4.6,-19.98
vao,-0.42,86,8,4.31,59.1
noumea,28.0,61,0,3.1,-22.28
sistranda,2.22,92,75,2.1,63.73
ostrovnoy,-2.27,86,56,5.66,68.05
codrington,28.89,69,56,1.5,-28.95
luderitz,14.89,92,20,5.61,-26.65
ust-kuyga,-24.92,78,8,1.51,70.0
rosarito,25.0,93,75,1.5,4.91
hilo,23.33,88,90,8.06,19.71
merauke,27.49,90,36,3.31,-8.49
huarmey,20.99,76,24,1.61,-10.07
ancud,14.0,67,0,4.1,-41.87
oporelu,11.0,32,0,2.6,44.6
sinnamary,26.89,92,68,5.41,5.38
yeppoon,26.0,78,76,3.6,-23.13
medvedok,-2.37,92,76,2.31,57.39
oistins,26.0,74,75,6.7,13.07
hohen neuendorf,6.11,69,40,2.1,52.67
karlshamn,4.0,86,20,1.0,56.17
nantucket,6.67,60,1,9.3,41.28
wanning,10.56,81,75,2.1,48.64
padre paraiso,20.59,97,92,2.11,-17.07
hofn,2.74,100,76,4.01,64.25
iqaluit,-16.0,71,90,3.1,63.75
coquimbo,15.0,82,75,1.5,-29.95
port elizabeth,16.0,30,1,2.6,39.31
barrow,13.84,83,92,5.81,-38.31
cabo san lucas,27.22,41,5,4.6,22.89
boyolangu,23.49,95,64,1.66,-8.09
lorengau,28.04,99,68,4.01,-2.02
mango,15.0,47,0,2.1,44.69
pangnirtung,-9.12,70,76,13.81,66.15
prince george,11.11,52,1,1.5,53.92
port moresby,27.0,78,40,2.6,-9.47
ferme-neuve,-7.57,50,0,2.96,46.7
popondetta,23.19,85,92,0.86,-8.77
nouadhibou,18.0,82,0,1.5,20.93
naze,26.0,94,40,2.86,5.43
saskylakh,-23.52,70,64,1.46,71.97
longyearbyen,-11.0,66,20,4.1,78.22
kruisfontein,18.89,91,80,5.56,-34.0
san quintin,23.39,57,0,1.86,17.54
cayenne,26.0,78,0,3.6,4.94
nioro,25.89,42,36,4.91,13.79
russell,23.0,25,0,3.1,-33.01
gazanjyk,6.34,87,8,0.96,39.24
saint joseph,13.89,62,90,2.1,39.77
mahebourg,28.0,74,75,4.6,-20.41
shitanjing,4.44,3,0,1.34,39.23
macheng,6.99,85,56,1.41,31.18
khandyga,-16.07,63,0,1.16,62.65
vryburg,21.34,49,0,5.36,-26.96
sao bento do sul,24.0,88,20,0.5,-26.25
sao joao da barra,25.0,78,0,1.0,-21.64
port-gentil,25.0,94,20,0.5,-0.72
mezen,0.64,87,88,3.11,65.85
kargil,-17.87,85,44,0.56,34.56
haines junction,4.49,51,0,1.46,60.75
finnsnes,-1.0,63,75,10.8,69.23
sisophon,22.69,100,92,1.81,13.59
cherskiy,-17.02,60,0,2.31,68.75
mangrol,16.39,83,0,1.16,25.33
tiksi,-22.07,61,44,1.76,71.64
hibbing,3.0,34,1,4.6,47.43
les cayes,25.74,100,0,4.36,18.19
kavieng,28.89,100,64,3.71,-2.57
jalu,15.34,49,0,5.56,29.03
bilma,23.04,17,36,6.06,18.69
tessalit,22.39,20,88,2.06,20.2
pevek,-17.37,92,48,4.91,69.7
banyo,18.84,94,32,2.16,6.75
quatre cocos,28.0,74,75,4.6,-20.21
golyshmanovo,-3.77,84,56,3.86,56.4
bagdarin,-18.77,40,0,1.06,54.44
ponta do sol,20.24,87,20,1.31,-20.63
mabaruma,26.04,81,64,3.46,8.2
walla walla,13.89,66,75,5.7,46.06
solnechnyy,-8.77,70,0,1.41,50.72
maxixe,22.49,100,20,2.66,-23.86
melo,16.99,56,0,5.11,-32.37
roald,2.22,93,90,8.2,62.58
husavik,-0.57,40,0,2.24,50.56
novyy rogachik,0.0,90,90,4.0,48.68
cidreira,22.24,69,20,4.71,-30.17
atbasar,-2.87,80,88,2.06,51.81
etchoropo,30.56,32,0,3.13,26.77
waingapu,26.39,87,88,3.56,-9.65
sembakung,24.0,94,20,0.91,3.82
nanortalik,-0.42,94,88,17.76,60.14
margate,15.0,38,20,11.3,-43.03
jiwani,18.34,89,0,2.46,25.05
radomsko,7.22,69,92,1.11,51.07
kahului,27.0,69,75,2.1,20.89
avera,25.0,36,1,4.1,33.19
north bend,15.56,58,1,6.2,43.41
nemuro,1.14,90,0,9.96,43.32
juarez,20.0,34,0,4.1,-38.95
kiskunhalas,11.67,70,0,1.5,46.43
nova olinda do norte,28.04,84,12,0.51,-3.89
acari,20.79,96,44,1.31,-6.44
dembi dolo,20.44,79,92,1.16,8.53
biltine,24.74,23,0,5.11,14.53
maumere,28.09,98,12,4.56,-8.63
sao filipe,20.64,100,0,4.56,14.9
sola,5.0,93,75,4.6,58.89
cabedelo,28.0,78,20,3.6,-6.97
ketchikan,13.0,57,1,7.7,55.34
san agustin,24.69,43,0,1.31,10.2
shar,24.54,85,64,5.21,7.3
ponte nova,19.54,96,68,1.61,-20.42
laurel,10.56,75,75,8.2,45.67
saint-joseph,14.44,76,0,1.5,43.56
umm lajj,19.04,100,64,5.21,25.02
ludvika,1.67,86,36,2.6,60.15
kurgan,-3.62,86,0,4.21,55.45
vallenar,17.29,89,0,0.86,-28.58
rawson,11.39,65,0,3.66,-43.3
kendari,25.89,96,8,1.76,-3.99
khorixas,15.49,78,12,1.21,-20.37
san jose,23.89,70,0,1.31,15.79
izvoru barzii,1.39,61,0,1.21,44.71
nome,24.0,69,90,5.1,30.04
saint-augustin,11.11,62,0,4.1,44.83
kermanshah,7.0,80,92,3.6,34.32
hukuntsi,23.04,40,36,4.56,-23.98
souillac,10.56,66,20,3.1,45.6
nova olimpia,26.29,84,8,1.41,-14.8
pendleton,23.0,39,1,2.1,34.65
ustye,-1.17,74,0,6.61,58.76
champerico,34.0,34,20,8.7,16.38
saint george,8.0,81,0,1.01,39.45
yumen,-1.62,49,0,3.76,40.29
porto velho,26.0,88,40,1.0,-8.75
goma,14.89,98,44,1.26,-1.67
espanola,-0.57,65,0,0.89,46.27
dakar,19.0,82,0,6.7,14.69
traralgon,13.33,85,12,4.92,-38.19
gat,19.0,82,0,6.7,14.69
omsukchan,-13.77,76,0,4.56,62.53
vila franca do campo,14.0,82,20,4.1,37.72
hambantota,25.64,100,0,3.66,6.12
mount gambier,9.0,81,75,11.3,-37.83
gornopravdinsk,-5.17,82,0,2.71,60.06
omboue,27.84,100,76,3.81,-1.57
san patricio,21.99,78,44,1.21,-26.98
muros,15.0,53,0,2.1,42.77
biak,26.34,97,68,1.11,-0.91
coihaique,15.0,54,0,2.1,-45.58
baie-comeau,-2.78,24,1,4.6,49.22
prince albert,-2.0,58,75,2.6,53.2
los cedrales,26.0,83,75,2.1,-25.66
mahibadhoo,28.79,100,88,5.11,3.78
pergamino,17.22,60,0,0.89,-33.9
camacha,18.0,82,40,8.7,33.08
yarmouth,7.22,80,0,3.6,50.71
kelcyre,1.79,67,0,0.76,40.31
alofi,29.0,54,24,7.7,-19.06
oriximina,27.24,78,8,1.51,-1.77
vangaindrano,20.94,98,88,1.31,-23.35
serowe,17.64,73,0,4.16,-22.4
mehamn,-1.0,68,75,10.3,71.03
aswan,21.0,26,0,6.2,24.09
toora-khem,-5.27,80,68,1.51,52.47
moshi,19.44,81,12,1.51,-3.36
nuevo progreso,28.0,57,75,7.2,26.05
magistralnyy,-18.47,64,0,1.11,56.17
laguna,29.0,16,5,4.1,27.52
raymondville,19.0,72,90,2.6,37.34
faya,18.0,67,0,3.1,18.39
veydelevka,0.64,94,24,3.21,50.15
douentza,23.64,63,20,1.16,15.01
bereda,12.78,71,0,1.5,43.27
saint-pierre,6.0,83,0,5.1,48.95
narsaq,0.0,83,92,21.1,60.91
port lincoln,17.59,84,24,10.66,-34.72
matara,9.49,84,88,0.86,-13.74
labuhan,26.04,85,36,0.61,-2.54
ixtapa,27.0,69,5,6.7,20.71
olga,23.33,49,1,2.6,34.11
bhadasar,16.49,71,24,2.51,28.3
tual,28.94,98,36,4.06,-5.67
kapit,23.74,94,88,1.26,2.02
karwar,22.04,85,0,0.86,14.8
alta floresta,24.39,95,32,0.76,-9.87
lasa,13.0,53,0,5.1,34.92
buraydah,23.0,49,20,2.1,26.33
teahupoo,31.0,66,75,4.6,-17.83
jicin,8.89,75,75,2.6,50.44
pignon,22.64,78,76,1.46,19.34
mosquera,18.0,52,75,4.6,4.71
borogontsy,-13.87,75,64,2.41,62.67
shache,2.04,75,24,1.61,38.42
grenada,23.0,33,90,2.1,33.77
marovoay,26.0,83,20,1.0,-16.11
nyurba,-15.12,68,8,1.66,63.29
bukachacha,-14.12,43,0,4.01,52.99
bowen,29.44,88,92,2.6,-20.01
adrar,20.0,24,0,4.1,27.87
nhulunbuy,29.0,83,40,3.1,-12.18
pires do rio,21.54,86,20,2.86,-17.3
zyryanka,-14.72,74,64,2.96,65.73
maniitsoq,-0.42,78,88,4.81,65.42
cam ranh,26.0,88,20,2.1,11.92
asosa,23.44,57,92,1.31,10.07
casper,12.0,46,90,5.1,42.87
kholmogory,1.0,91,40,3.0,64.23
thinadhoo,28.04,100,56,3.76,0.53
sri aman,23.0,100,56,0.96,1.24
the pas,-5.0,41,1,2.6,53.82
umtata,18.0,93,56,3.6,-31.59
taft,25.54,91,80,4.36,11.9
antalaha,25.59,93,44,3.76,-14.9
bonavista,1.11,86,0,8.94,48.65
pisco,22.0,30,0,9.8,-13.71
turukhansk,-4.77,86,80,4.46,65.8
emba,13.0,53,0,5.1,34.81
dali,4.74,100,0,0.86,25.6
seidu,26.54,60,12,5.16,8.32
dudinka,-7.47,88,88,7.41,69.41
kondinskoye,-2.87,95,88,3.21,59.65
caravelas,28.04,100,80,6.11,-17.73
bandarbeyla,26.14,100,100,1.31,9.49
soe,1.67,74,0,6.2,57.91
kresttsy,-1.77,74,24,5.01,58.25
elat,21.64,95,80,1.21,2.91
olinda,29.0,74,75,2.1,-2.03
yinchuan,4.44,3,0,1.34,38.48
emerald,25.56,83,8,3.1,-23.53
ayan,-10.32,70,0,0.91,40.67
magadan,-6.07,98,0,3.41,59.56
puro,23.54,99,88,1.91,13.13
bell ville,15.89,63,36,3.61,-32.63
sitka,17.22,51,0,4.47,37.17
la macarena,23.49,88,68,0.86,2.18
phek,10.54,84,0,1.31,25.7
charlestown,11.0,72,1,4.1,41.38
upata,28.99,38,0,4.31,8.02
kikwit,22.69,93,100,1.46,-5.04
novyy nekouz,-0.57,94,88,4.61,57.91
mayo,4.0,86,90,1.0,63.59
vestmannaeyjar,-0.37,100,20,2.21,63.44
salta,25.0,56,40,3.6,-24.79
teguldet,-5.67,88,8,1.81,57.31
port blair,27.64,100,12,3.36,11.67
san vicente,33.0,48,0,3.1,13.64
sao borja,23.39,53,8,4.21,-28.66
ouadda,27.99,48,56,5.31,8.07
fort-shevchenko,3.99,100,92,5.81,44.51
lakatoro,26.34,98,92,4.21,-16.11
hilton head island,22.0,55,1,3.1,32.16
poddorye,-0.87,64,12,5.76,57.47
sorland,0.0,100,90,7.7,67.67
povenets,-5.52,74,0,3.41,62.85
krutinka,-12.52,69,12,2.11,56.01
ewo,21.99,91,8,2.51,-0.88
qianguo,1.09,45,8,4.96,45.12
aklavik,0.0,99,40,1.41,68.22
kashima,8.33,80,75,2.1,33.1
kandrian,26.34,91,88,1.31,-6.21
salalah,26.0,78,40,3.1,17.01
tendo,2.0,59,20,4.1,38.35
lac-megantic,-1.0,92,90,2.6,45.58
ishigaki,22.0,83,75,6.2,24.34
xichang,-1.72,79,8,0.66,27.88
samarai,26.74,100,80,6.76,-10.62
mumford,26.99,85,48,5.11,5.26
thessalon,2.0,37,1,1.5,46.26
cusco,14.0,67,75,1.5,-13.52
rawicz,8.0,70,20,4.6,51.61
buri,21.14,73,0,2.41,-23.8
gerash,10.29,85,36,1.36,27.67
port macquarie,27.78,88,32,1.5,-31.43
mattawa,-2.78,35,20,4.1,46.32
maningrida,30.34,81,8,6.46,-12.05
machico,18.0,72,40,7.2,32.7
meulaboh,24.99,100,20,1.91,4.14
desaguadero,11.19,56,68,1.96,-16.56
touros,28.0,78,0,3.6,-5.2
cepu,23.14,98,92,2.06,-7.14
oktyabrskiy,1.67,92,40,3.0,55.61
takoradi,27.34,99,88,4.31,4.89
tautira,31.0,66,75,4.6,-17.73
abu samrah,6.99,79,0,2.51,35.3
abu kamal,9.34,95,88,7.16,34.45
mandal,-11.07,63,12,1.31,48.82
kabala,26.49,60,68,3.21,9.59
amapa,29.0,51,40,9.3,15.09
okha,-5.52,95,92,5.56,53.59
idrinskoye,-2.52,89,88,2.21,54.37
puerto maldonado,1.0,334,75,1.0,-12.59
raudeberg,3.33,100,88,2.6,61.99
rabo de peixe,14.0,82,20,4.1,37.8
isabela,25.84,70,0,2.41,10.2
le port,10.56,51,8,0.45,42.87
tateyama,10.0,42,75,4.6,36.66
guia de isora,18.33,68,40,1.5,28.21
novokizhinginsk,-10.22,67,32,1.11,51.61
camacari,29.0,79,40,2.6,-12.7
monrovia,26.0,94,20,2.96,6.33
santa cruz cabralia,25.0,88,75,2.1,-16.28
haukipudas,2.0,64,80,8.2,65.17
namikupa,22.74,95,12,1.26,-10.84
maun,26.0,39,0,4.6,-19.99
porbandar,23.19,62,12,4.66,21.64
praia,23.0,73,40,3.1,-20.25
zubtsov,-3.02,77,12,5.11,56.17
mogadishu,28.34,97,80,5.51,2.04
kawambwa,19.69,100,56,1.66,-9.8
pringsewu,23.89,91,24,0.96,-5.36
pacific grove,19.44,44,1,4.6,36.62
teknaf,20.94,87,0,2.06,20.86
kampene,21.04,96,32,0.61,-3.59
road town,27.0,69,75,5.1,18.42
brainerd,3.33,69,90,3.1,46.36
mecca,21.39,95,48,1.26,21.43
covington,22.0,46,90,5.7,35.56
kokopo,26.29,100,76,1.96,-4.34
belmonte,7.22,76,0,0.89,40.36
sangar,-16.17,73,44,2.91,63.92
lavrentiya,0.34,96,92,8.41,65.58
mandera,28.89,13,68,2.24,3.94
petropavlovsk-kamchatskiy,-3.0,73,36,1.0,53.05
surt,11.99,100,0,2.36,31.21
wyndham,9.0,93,40,3.6,51.61
waldoboro,9.0,49,1,2.6,44.1
kudahuvadhoo,28.64,100,100,5.06,2.67
ostuni,13.89,76,0,2.6,40.73
vitim,-17.12,68,32,1.46,59.44
raytown,14.44,62,90,2.1,39.01
pithoro,20.09,56,24,1.31,25.52
arcata,18.33,100,1,4.1,40.87
thohoyandou,15.39,91,0,1.06,-22.97
novomalorossiyskaya,0.0,81,12,4.16,45.63
baykit,-8.12,83,88,1.41,61.68
pedernales,24.64,81,80,2.71,0.07
copiapo,18.0,68,0,4.6,-27.37
taunggyi,12.39,81,0,0.71,20.78
nalut,6.54,84,0,1.61,31.86
moundou,29.49,44,80,2.36,8.57
daru,23.64,79,48,1.41,7.99
smithers,8.0,49,75,1.0,54.78
santa lucia,13.0,93,20,2.6,39.93
jiayuguan,-9.37,54,0,2.96,39.77
luganville,27.24,100,88,6.31,-15.51
sirsi,20.54,92,0,1.31,14.62
west bay,7.22,87,0,8.2,50.71
goundi,27.54,34,12,3.11,9.36
kadaya,-9.47,20,0,6.26,50.93
zhanakorgan,3.49,81,0,1.26,43.91
aykhal,-25.47,39,0,1.21,65.95
lubuagan,20.99,63,0,0.91,17.35
qandala,18.84,83,0,2.11,11.47
sumbe,26.89,100,100,2.61,-11.2
westport,9.44,79,92,2.68,53.8
kangaatsiaq,-5.92,96,56,8.31,68.31
carauari,26.49,91,20,0.71,-4.88
axim,28.64,95,76,5.46,4.87
zigong,7.49,87,8,1.31,29.34
saint-francois,6.0,87,90,1.5,46.42
mercedes,18.04,62,0,5.81,-33.25
grand gaube,28.0,74,75,4.6,-20.01
hay river,8.0,45,40,4.6,60.82
medeiros neto,22.89,89,68,2.86,-17.37
arlit,21.74,27,68,4.31,18.74
contamana,27.89,70,8,1.56,-7.35
nador,15.0,87,0,0.5,35.17
ponnani,26.0,83,0,2.1,10.77
lazarev,-6.12,83,76,3.41,52.23
tabou,29.04,94,44,5.01,4.42
araouane,28.19,30,92,1.61,18.9
najran,25.0,27,0,2.91,17.54
el rosario,29.0,28,5,4.1,22.99
sept-iles,-8.89,28,20,6.2,50.2
tecoanapa,29.0,70,5,5.1,16.99
sobolevo,-4.17,74,0,3.36,54.43
marawi,21.54,86,88,1.16,8.0
bodden town,29.0,70,20,5.7,19.28
cavalcante,20.49,98,80,1.16,-13.79
onguday,-3.12,82,92,0.91,50.75
madaoua,25.49,22,8,4.76,14.07
talca,25.0,31,0,4.6,-35.43
iquique,22.0,64,0,8.2,-20.22
elizabeth city,20.0,36,1,3.91,36.3
boyabat,-4.97,90,44,1.06,41.47
amparafaravola,19.19,98,68,1.31,-17.68
sovetskiy,-2.32,95,88,3.06,56.76
mporokoso,17.44,95,88,2.06,-9.37
beloha,23.84,81,8,6.21,-25.17
talara,17.0,290,0,3.66,-4.58
dhidhdhoo,28.84,100,0,4.56,6.88
cooma,20.0,56,48,17.0,-36.24
la paz,25.0,33,5,4.6,24.15
myitkyina,15.49,87,0,0.86,25.38
hualmay,20.84,80,32,1.96,-11.1
olovyannaya,-10.22,32,0,4.46,50.94
rundu,22.69,42,12,3.91,-17.91
tianpeng,7.24,100,36,2.06,28.88
san cristobal,15.0,87,75,2.6,-0.39
simao,15.99,65,12,1.16,22.76
boende,23.94,90,92,1.11,-0.28
maceio,27.0,78,20,3.6,-9.67
loreto,26.49,67,0,3.46,-23.27
denpasar,25.0,94,75,3.6,-8.65
saint-paul,7.78,70,0,1.0,45.22
high rock,25.0,61,75,5.7,26.63
banjar,22.64,96,64,0.71,-7.37
placido de castro,24.89,94,0,0.91,-10.34
nizwa,13.94,85,0,1.31,22.93
puerto baquerizo moreno,29.0,79,75,2.6,-0.9
mount isa,27.0,74,40,8.2,-20.73
porto belo,27.22,83,0,1.0,-27.15
